,id,name,booth,profile,positions,employment types,location,linkedin,twitter,facebook,contact
0,3266,Accedo,15,"We are Accedo and have more than ten years of experience helping hundreds of TV platform operators, broadcasters, media companies and consumer electronics manufacturers across the globe to design, deliver and manage the next generation video user experience across a vast range of connected devices. Accedo offers a truly global working environment, with offices all over the world: Stockholm, London, New York, Silicon Valley, Sydney, and Hong Kong, amongst others. Accedo delivers rich media apps on multiple platforms ranging from Smart TVs to smart phones/tablets.","['Software Engineer', 'Quality Assurance Engineer', 'Full Stack Developer', 'Technical Business Analyst', 'Product Integration Engineer']","['Co-op', 'Internship']","['Ontario (GTA)', 'Ontario (excluding GTA)']",,@,,
1,3345,Adastra Corporation,174,"Adastra provides world-class Big Data, Business Intelligence, Data Integration, Data Quality, Data Warehousing, Data Governance and Master Data Management services and solutions to companies around the globe and across industries. For twenty years, Adastra has been helping business and technology work together to protect existing data investments and unlock their business value using the most advanced tools, technologies and methodologies available. Intelligent solutions for superior performance.","['Entry-level Data Warehouse and Business Intelligence Consultants', 'Entry-level Big Data Developers']",['Full-time'],['Ontario (GTA)'],www.linkedin.com/company/adastra?trk=biz-companies-cym,@AdastraCorp,www.facebook.com/AdastraCorp,
2,3154,Aecon,39,"For more than a century, Aecon and our predecessor companies have helped to build many of Canada's most famous landmarks – from the CN Tower and St. Lawrence Seaway, to the Vancouver Sky Train and Halifax Shipyards. In addition to these great landmarks, we've also helped to build hundreds of factories, roads, sewers, theatres, book stores, power plants, arts centres, mine sites, offices, hotels and gas distribution networks – the smaller, but no less important projects that help to make Canada a great place to live.","['Jr. Project Coordinator', 'Accounts Payable', 'Human Resources', 'Information Technology, Service Desk Analyst', 'Various positions for Montreal REM']","['Full-time|Summer|Co-op', 'Internship']","['Eastern Canada', 'Ontario (GTA)', 'Quebec', 'Western Canada']",ca.linkedin.com/company/aecon,@Aecon_Careers,,"20 Carlson Court, Toronto, Ontario M9W 7K6
Briane Bassett, Recruitment Coordinator
bbassett@aecon.com, 780.218.6864"
3,3285,Aerotek,118,,['Recruiting'],"['Full-time|Co-op', 'Internship']","['Eastern Canada', 'Northern Canada', 'Ontario (GTA)', 'Quebec', 'Western Canada', 'U.S.']",,@,,
4,3250,African Lion Safari,145,"African Lion Safari opened its gates in 1969 with 40 lions roaming free throughout three large Games Reserves. Col. G.D. Dailley, founder of African Lion Safari, had a vision “ To provide an environment for self-sustaining populations of declining wildlife species.”  Today, Canada’s Original Safari Adventure maintains a collection over 1,000 exotic birds and animals comprised of more than a 100 different species. During its peak season, African Lion Safari employs approximately 350 seasonal staff.","['Retail Customer Service Representatives', 'Retail Stock Assistant', 'Food Service Cashier / Assistant Head Cashiers / Crew Chiefs', 'Ticketbooth Cashiers / Assistant Head Cashiers', 'Gas Bar Attendant', 'Mechanical Assistant (seasonal position)', 'Washroom Crew', 'Grounds Maintenance', 'Guest Service Representatives', 'PR/Front Desk', 'Sales Assistant', 'Tour Guides', 'Playground Attendants', 'Animal Attendants', 'Parrots/Birds of Prey Staff']",['Summer'],[''],,@,www.facebook.com/AfricanLionSafariCanada,"RR 1, Cambridge, Ontario N1R 5S2
hr@lionsafari.com"
5,3197,Agriculture & Agri-Food Canada,171,,['A variety of positions across Canada.'],"['Full-time|Summer|Co-op', 'Internship|Contract|Part-time ', ' Casual']","['Eastern Canada', 'Northern Canada', 'Ontario (GTA)', 'Quebec', 'Western Canada']",www.linkedin.com/company/agriculture-and-agri-food-canada,@AAFC_Canada,www.facebook.com/CanadianAgriculture/,"Melanie Leduc, Sr. HR Advisor
melanie.leduc@agr.gc.ca"
6,3335,Andiamo,22,"Andiamo provides high-level consultation to executives at HBO, Bloomberg, Goldman Sachs, Morgan Stanley and others regarding their technology hiring strategy. We manage the world’s most valuable assets - people - for the world’s most pioneering institutions. We are an energetic and smart technology recruiting and consulting company with a start-up vibe who has tripled in size in the last two years. You can be a part of our continued growth as we look to hire brilliant professionals who will help us make a difference in our industry.","['Executive Recruiting Specialist: originate, structure and negotiate complex deals; execute client and candidate marketing and acquisition strategies; create detailed market maps consistent with the firm’s mandates and objectives; participate in presentations with internal executives, external clients and key industry figures; and leverage an innate intellectual curiosity and develop market knowledge to engage key stakeholders.']",['Full-time'],[''],,@,,
7,3237,Arcane,149,"In our pursuit to drive measurable, predictable marketing ROI, we have created a different kind of marketing agency. At Arcane, we do what we say and say what we do. We've built our 80+ team (located in London, Toronto, and Calgary) out of individuals that share our passion for transparency, innovation and results.","[""Our team is full of thought leaders and challengers, creatives and builders. Together, we build solutions to problems that have plagued marketers for years and execute tactics that drive ROI in excess of 1,500%. We are Canada's fastest growing independent ad agency.""]",[''],[''],,@,,
8,3323,Arctic Glacier Canada,77,"Arctic Glacier is a leading producer, marketer and distributor of high-quality packaged ice to consumers in Canada and the United States, primarily under the brand name of Arctic Glacier Premium Ice. Arctic Glacier operates 45 production plants and 51 distribution facilities across Canada and the northeastern, central and western United States servicing more than 75,000 retail accounts. Arctic Glacier also licenses its trade names and proprietary technology to independently owned companies in Canada and the United States under franchise and license agreements.","['Route Delivery Driver', 'Production Associate']",['Summer'],['Ontario (GTA)'],,@,,torontorecruiting@arcticglacier.com
9,3147,Arvato,73,"Arvato is an international service provider with some 70,000 employees in more than 40 countries. We design and implement innovative solutions for clients from all over the world. These include intelligent customer service via all contact channels in the CRM sector; end-to-end e-commerce services for retailers and brands in the field of SCM; fraud prevention and payment services in the financial industry; and IT services in the cloud. In developing our innovative solutions, we place a strong focus on automation and data/analytics.",['Customer Service Representatives'],['Full-time|Summer|Contract'],"['', 'Ontario (excluding GTA)']","www.linkedin.com/company/5384727/?trk=tyah&trkInfo=clickedVertical:company,entityType:entityHistoryName,clickedEntityId:company_5384727,idx:0",@arvatousa,www.facebook.com/arvatonorthamerica/,"235 King Street East, Kitchener, ON N2G 4N5 Canada
Maya Kljucic, Corporate Recruiter
maja.kljucic@arvato.com; 519.513.1160
www.arvato.com/en/career"
